"","Time","Sl_No.","UPI_Remitter_Bank","Total_Volume","Approved.","BD.","TD.","Total.Debit.Reversal.Count","Debit.Reversal.Success"
"1","""Aug 21""",1,"State Bank Of India",1018.15,922.4439,68.521495,27.08279,11.09,9.691551
"2","""Aug 21""",2,"Hdfc Bank Ltd",314.36,298.642,14.806356,0.880208,2.21,2.140164
"3","""Aug 21""",3,"Axis Bank Ltd",235.25,225.6518,8.51605,1.08215,1.29,0.909063
"4","""Aug 21""",4,"Bank Of Baroda",219.01,202.759458,15.790621,0.459921,1.39,1.368733
"5","""Aug 21""",5,"Icici Bank",217.79,206.443141,11.172627,0.174232,1.06,0.923896
"6","""Aug 21""",6,"Paytm Payments Bank",212.37,201.900159,10.066338,0.403503,1.26,1.117998
"7","""Aug 21""",7,"Punjab National Bank",173.85,149.841315,14.42955,9.579135,6.05,4.50604
"8","""Aug 21""",8,"Union Bank Of India",170.46,152.885574,14.079996,3.49443,2.89,1.260329
"9","""Aug 21""",9,"Canara Bank",153.75,140.5275,12.223125,1.01475,1.16,1.08634
"11","""Aug 21""",11,"Kotak Mahindra Bank",129.15,121.16853,7.20657,0.761985,1.01,0.924251
"51","""Sept 21""",1,"State Bank Of India",1036.45,927.83004,72.5515,36.06846,14.87,14.281148
"52","""Sept 21""",2,"Hdfc Bank Ltd",327.32,310.201164,16.889712,0.229124,1.7,1.67331
"53","""Sept 21""",3,"Bank Of Baroda",231.73,213.840444,17.449269,0.440287,1.38,1.358748
"54","""Sept 21""",4,"Icici Bank",225.22,212.359938,11.621352,1.23871,2.06,0.892186
"55","""Sept 21""",5,"Axis Bank Ltd",214.22,203.916018,8.868708,1.435274,1.5,0.9018
"56","""Sept 21""",6,"Paytm Payments Bank",212.36,201.380988,10.72418,0.254832,1.06,1.013148
"57","""Sept 21""",7,"Union Bank Of India",195.42,173.063952,20.71452,1.524276,1.87,1.259445
"58","""Sept 21""",8,"Punjab National Bank",179.64,166.70592,11.6766,1.25748,1.8,1.50228
"59","""Sept 21""",9,"Canara Bank",163.54,149.442852,13.49205,0.605098,1.24,1.162128
"60","""Sept 21""",10,"Kotak Mahindra Bank",137.75,127.7218,7.90685,2.12135,2.09,1.752674
"101","""Oct 21""",1,"State Bank Of India",1193.24,1098.019448,83.765448,11.455104,7.15,7.109245
"102","""Oct 21""",2,"Hdfc Bank Ltd",381.13,359.901059,20.085551,1.14339,1.61,1.457855
"103","""Oct 21""",3,"Bank Of Baroda",265.61,243.325321,18.911432,3.373247,1.85,1.188995
"104","""Oct 21""",4,"Icici Bank",262.75,249.323475,13.0324,0.394125,0.88,0.752576
"105","""Oct 21""",5,"Union Bank Of India",256.7,226.48641,26.4401,3.77349,1.16,0.462608
"106","""Oct 21""",6,"Axis Bank Ltd",249.31,237.218465,9.997331,2.094204,0.81,0.465912
"107","""Oct 21""",7,"Paytm Payments Bank",248.26,236.368346,11.717872,0.173782,1.01,0.992527
"108","""Oct 21""",8,"Punjab National Bank",205.66,182.029666,14.560728,9.069606,2.54,2.084832
"109","""Oct 21""",9,"Canara Bank",183.45,169.54449,13.24509,0.66042,0.98,0.938448
"110","""Oct 21""",10,"Kotak Mahindra Bank",161.27,150.045608,9.498803,1.725589,0.83,0.742186
"151","""Nov 21""",1,"State Bank Of India",1176.24,1083.669912,82.454424,10.115664,6.35,6.207125
"152","""Nov 21""",2,"Hdfc Bank Ltd",368.77,349.188313,19.323548,0.258139,1.56,1.55142
"153","""Nov 21""",3,"Bank Of Baroda",261.95,240.20815,18.415085,3.326765,3.14,2.044454
"154","""Nov 21""",4,"Icici Bank",253.34,239.836978,12.185654,1.317368,1.69,1.386476
"155","""Nov 21""",5,"Union Bank Of India",253.21,230.471742,20.889825,1.848433,2.08,1.221168
"156","""Nov 21""",6,"Paytm Payments Bank",246.9,234.40686,12.24624,0.2469,0.96,0.921792
"157","""Nov 21""",7,"Axis Bank Ltd",245.3,234.94834,9.64029,0.71137,0.96,0.780576
"158","""Nov 21""",8,"Punjab National Bank",199.26,183.159792,14.04783,2.052378,1.62,1.400004
"159","""Nov 21""",9,"Canara Bank",183.94,170.898654,12.50792,0.533426,0.94,0.880216
"160","""Nov 21""",10,"Kotak Mahindra Bank",162.08,151.431344,9.287184,1.361472,1.34,1.077226
"201","""Dec 21""",1,"State Bank Of India",1296.56,1149.141128,89.981264,57.437608,18.29,15.010603
"202","""Dec 21""",2,"Hdfc Bank Ltd",410.13,388.065006,21.285747,0.779247,2.7,2.61549
"203","""Dec 21""",3,"Bank Of Baroda",289.1,267.73551,20.8152,0.54929,2.02,2.013334
"204","""Dec 21""",4,"Union Bank Of India",281.76,256.68336,23.9496,1.12704,2.85,2.38089
"205","""Dec 21""",5,"Icici Bank",280.71,267.207849,13.19337,0.308781,1.48,1.34384
"206","""Dec 21""",6,"Paytm Payments Bank",267.13,253.052249,12.581823,1.495928,1.73,1.420157
"207","""Dec 21""",7,"Axis Bank Ltd",254.57,243.979888,10.539198,0.050914,1.35,1.329075
"208","""Dec 21""",8,"Punjab National Bank",218.34,193.34007,17.336196,7.663734,3.4,2.74788
"209","""Dec 21""",9,"Canara Bank",205.52,189.756616,14.920752,0.842632,1.44,1.414512
"210","""Dec 21""",10,"Kotak Mahindra Bank",181.89,169.976205,9.767493,2.146302,2.45,2.037175
"251","""Jan 22""",1,"State Bank Of India",1291.88,1184.65396,91.72348,15.631748,8.17,7.815422
"252","""Jan 22""",2,"Hdfc Bank Ltd",406.61,382.254061,23.217431,1.179169,2.52,2.30076
"253","""Jan 22""",3,"Bank Of Baroda",299.12,275.579256,22.075056,1.465688,1.55,1.53264
"254","""Jan 22""",4,"Union Bank Of India",287.21,259.092141,25.331922,2.785937,3.17,1.48356
"255","""Jan 22""",5,"Icici Bank",274,260.6836,12.8506,0.4658,1.22,0.852536
"256","""Jan 22""",6,"Paytm Payments Bank",262.28,249.03486,13.035316,0.209824,1.06,0.996824
"257","""Jan 22""",7,"Axis Bank Ltd",243.68,232.1052,10.941232,0.6092,0.96,0.938784
"258","""Jan 22""",8,"Punjab National Bank",213.48,197.447652,14.73012,1.302228,1.67,1.503501
"259","""Jan 22""",9,"Canara Bank",206.3,190.76561,14.54415,0.96961,1.26,1.171674
"260","""Jan 22""",10,"Kotak Mahindra Bank",186.34,175.71862,10.099628,0.540386,0.93,0.802311
